,Azimuth,Elevation
761,32.0,17.0
762,32.0,17.0
763,32.0,17.0
764,32.0,17.0
765,32.0,17.0
766,32.0,17.0
767,32.0,17.0
768,32.0,17.0
769,32.0,17.0
770,32.0,17.0
771,32.0,16.0
772,32.0,16.0
773,32.0,16.0
774,32.0,16.0
775,33.0,16.0
776,33.0,16.0
777,33.0,17.0
778,33.0,16.0
779,33.0,16.0
780,33.0,16.0
781,33.0,16.0
782,33.0,16.0
783,33.0,16.0
784,33.0,16.0
785,33.0,16.0
786,33.0,16.0
787,33.0,16.0
788,33.0,16.0
789,33.0,16.0
790,33.0,16.0
791,33.0,16.0
792,33.0,17.0
793,33.0,17.0
794,33.0,17.0
795,33.0,16.0
796,33.0,16.0
797,33.0,17.0
798,33.0,17.0
799,33.0,16.0
800,33.0,16.0
801,33.0,17.0
802,33.0,17.0
803,33.0,17.0
804,33.0,17.0
805,33.0,17.0
806,33.0,17.0
807,33.0,17.0
808,34.0,17.0
809,34.0,17.0
810,34.0,17.0
811,34.0,17.0
812,34.0,17.0
813,34.0,17.0
814,34.0,17.0
815,34.0,17.0
816,34.0,17.0
817,34.0,17.0
818,34.0,17.0
819,34.0,17.0
820,34.0,17.0
821,34.0,17.0
822,34.0,17.0
823,34.0,17.0
824,34.0,17.0
825,34.0,17.0
826,34.0,17.0
827,34.0,17.0
828,35.0,17.0
829,35.0,17.0
830,35.0,17.0
831,35.0,17.0
832,35.0,17.0
833,35.0,17.0
834,35.0,17.0
835,35.0,17.0
836,35.0,17.0
837,35.0,17.0
838,35.0,16.0
839,35.0,16.0
840,35.0,16.0
841,35.0,18.0
842,35.0,18.0
843,35.0,18.0
844,35.0,16.0
845,35.0,18.0
846,35.0,18.0
847,35.0,18.0
848,35.0,17.0
849,35.0,18.0
850,35.0,16.0
851,35.0,17.0
852,35.0,17.0
853,35.0,18.0
854,35.0,17.0
855,35.0,17.0
856,35.0,17.0
857,35.0,18.0
858,35.0,18.0
859,35.0,17.0
860,36.0,17.0
861,36.0,17.0
862,36.0,18.0
863,36.0,18.0
864,36.0,17.0
865,36.0,18.0
866,36.0,19.0
867,36.0,19.0
868,36.0,19.0
869,36.0,19.0
870,36.0,19.0
871,36.0,19.0
872,36.0,19.0
873,36.0,19.0
874,36.0,19.0
875,36.0,19.0
876,36.0,19.0
877,36.0,19.0
878,36.0,19.0
879,36.0,19.0
880,36.0,19.0
881,36.0,19.0
882,36.0,19.0
883,36.0,19.0
884,36.0,19.0
885,36.0,19.0
886,36.0,19.0
887,36.0,19.0
888,36.0,19.0
889,36.0,19.0
890,37.0,19.0
891,37.0,19.0
892,37.0,18.0
893,37.0,18.0
894,37.0,18.0
895,37.0,18.0
896,37.0,18.0
897,37.0,18.0
898,37.0,18.0
899,37.0,18.0
900,37.0,18.0
901,37.0,18.0
902,37.0,18.0
903,37.0,18.0
904,37.0,18.0
905,37.0,18.0
906,37.0,18.0
907,37.0,18.0
908,37.0,17.0
909,37.0,17.0
910,38.0,17.0
911,38.0,17.0
912,38.0,17.0
913,38.0,17.0
914,38.0,17.0
915,38.0,17.0
916,38.0,17.0
917,38.0,17.0
918,38.0,17.0
919,38.0,17.0
920,38.0,17.0
921,38.0,17.0
922,38.0,17.0
923,38.0,17.0
924,38.0,17.0
925,38.0,17.0
926,38.0,17.0
927,38.0,17.0
928,38.0,17.0
929,38.0,17.0
930,38.0,17.0
931,38.0,17.0
932,38.0,20.0
933,38.0,17.0
934,38.0,20.0
935,38.0,20.0
936,38.0,20.0
937,38.0,17.0
938,38.0,18.0
939,38.0,18.0
940,38.0,20.0
941,38.0,18.0
942,38.0,18.0
943,38.0,17.0
944,38.0,19.0
945,38.0,19.0
946,38.0,18.0
947,38.0,18.0
948,38.0,17.0
949,38.0,19.0
950,38.0,19.0
951,38.0,18.0
952,38.0,18.0
953,38.0,20.0
954,38.0,19.0
955,38.0,19.0
956,38.0,18.0
957,38.0,18.0
958,38.0,19.0
959,38.0,19.0
960,38.0,19.0
961,38.0,20.0
962,38.0,20.0
963,38.0,20.0
964,39.0,20.0
965,39.0,20.0
966,39.0,20.0
967,39.0,20.0
968,39.0,20.0
969,39.0,20.0
970,39.0,20.0
971,39.0,20.0
972,39.0,20.0
973,39.0,20.0
974,39.0,20.0
975,40.0,20.0
976,40.0,20.0
977,40.0,20.0
978,40.0,20.0
979,40.0,20.0
980,40.0,19.0
981,40.0,19.0
982,40.0,19.0
983,40.0,19.0
984,40.0,20.0
985,40.0,19.0
986,40.0,20.0
987,40.0,19.0
988,40.0,20.0
989,40.0,19.0
990,40.0,19.0
991,40.0,19.0
992,40.0,19.0
993,40.0,19.0
994,40.0,19.0
995,40.0,19.0
996,40.0,19.0
997,41.0,19.0
998,41.0,19.0
999,41.0,19.0
1000,41.0,19.0
1001,41.0,19.0
1002,41.0,19.0
1003,41.0,19.0
1004,41.0,19.0
1005,41.0,19.0
1006,41.0,19.0
1007,41.0,42.0
1008,41.0,42.0
1009,41.0,42.0
1010,41.0,19.0
1011,41.0,42.0
1012,41.0,18.0
1013,41.0,41.0
1014,41.0,42.0
1015,41.0,18.0
1016,41.0,42.0
1017,41.0,20.0
1018,41.0,42.0
1019,41.0,42.0
1020,41.0,41.0
1021,41.0,42.0
1022,41.0,41.0
1023,41.0,41.0
1024,41.0,20.0
1025,41.0,20.0
1026,41.0,42.0
1027,41.0,18.0
1028,41.0,19.0
1029,41.0,19.0
1030,41.0,19.0
1031,41.0,41.0
1032,41.0,20.0
1033,41.0,42.0
1034,41.0,20.0
1035,41.0,42.0
1036,41.0,41.0
1037,41.0,42.0
1038,41.0,41.0
1039,41.0,41.0
1040,41.0,42.0
1041,41.0,19.0
1042,41.0,19.0
1043,41.0,42.0
1044,41.0,41.0
1045,41.0,20.0
1046,41.0,18.0
1047,41.0,20.0
1048,41.0,43.0
1049,41.0,20.0
1050,41.0,42.0
